name,learning_rate,gamma,buffer_size,batch_size,exploration_fraction,target_update_interval,overall_mean_reward,adult_weight_loss,adult_weight_gain,adult_hypertension,baby_meal
dqn_exp_01,0.001,0.95,10000,32,0.3,500,42.99044047619048,37.730333333333334,47.408392857142864,36.323035714285716,50.5
dqn_exp_02,0.0005,0.95,10000,64,0.3,500,40.87757142857143,40.595,44.172964285714286,46.46124999999999,32.28107142857143
dqn_exp_03,0.0001,0.95,10000,64,0.3,500,-4.948472222222222,5.687777777777777,-3.025,-8.02,-14.436666666666664
dqn_exp_04,0.0005,0.99,10000,64,0.3,500,12.305065711152876,-6.148000000000021,5.228947368421054,-2.263571428571426,52.4028869047619
dqn_exp_05,0.0005,0.99,20000,64,0.4,500,7.086833333333332,1.5054999999999987,-4.820000000000002,24.8925,6.769333333333333
dqn_exp_06,0.0005,0.99,20000,128,0.4,500,-0.4959937343358427,9.315999999999983,-9.774736842105266,6.48142857142858,-8.006666666666668
dqn_exp_07,0.0003,0.99,30000,64,0.4,250,-15.017777568922293,-0.8901666666666644,-25.76415789473682,-22.426785714285685,-10.99
dqn_exp_08,0.0003,0.99,30000,64,0.2,250,14.32672916666667,37.82166666666667,27.24000000000001,-12.64875,4.894000000000001
dqn_exp_09,0.0001,0.995,30000,128,0.2,250,29.704299342105262,40.07033333333334,18.458054511278196,18.302142857142858,41.986666666666665
dqn_exp_10,0.0007,0.98,15000,64,0.35,750,25.983901550751884,18.172500000000003,17.21658834586468,21.922500000000003,46.62401785714286
